id,model,avg_similarity,avg_naturalness
148,CodeBERT,2.5,1.5
149,CodeBERT,4,3
150,CodeBERT,5,5
151,CodeBERT,5,5
152,CodeBERT,5,5
153,CodeBERT,5,5
154,CodeBERT,1,1.5
155,CodeBERT,1,1.5
156,CodeBERT,2.5,1.5
157,CodeBERT,1,1.5
158,CodeBERT,1,3.5
159,CodeBERT,5,5
160,CodeBERT,1,2.5
161,CodeBERT,1,1.5
162,CodeBERT,1,1.5
163,CodeBERT,1,1.5
164,CodeBERT,1,2.5
165,CodeBERT,1,1.5
166,CodeBERT,1,1.5
167,CodeBERT,3,2.5
168,CodeBERT,5,5
169,CodeBERT,2.5,1.5
170,CodeBERT,1,1.5
171,CodeBERT,3,2.5
172,CodeBERT,5,5
173,CodeBERT,5,5
174,CodeBERT,3.5,2.5
175,CodeBERT,2.5,1.5
176,CodeBERT,3,2.5
177,CodeBERT,2,1.5
178,CodeBERT,1,1.5
179,CodeBERT,1,1.5
180,CodeBERT,1,1.5
181,CodeBERT,3.5,2.5
182,CodeBERT,1,2.5
183,CodeBERT,1,2.5
184,CodeBERT,1,1.5
185,CodeBERT,1,1.5
186,CodeBERT,2.5,1.5
187,CodeBERT,2,1.5
188,CodeBERT,2.5,1.5
189,CodeBERT,2.5,1.5
190,CodeBERT,1,1.5
191,CodeBERT,1,1.5
192,CodeBERT,2.5,1.5
193,CodeBERT,1,1.5
194,CodeBERT,2.5,1.5
195,CodeBERT,5,5
196,CodeBERT,5,5
197,CodeBERT,1,2.5
198,CodeBERT,2.5,1.5
199,CodeBERT,5,5
200,CodeBERT,5,5
201,CodeBERT,5,5
202,CodeBERT,1,1.5
203,CodeBERT,3,3.5
204,CodeBERT,2,2.5
205,CodeBERT,2.5,1.5
206,CodeBERT,1,1.5
207,CodeBERT,3.5,2.5
208,CodeBERT,5,5
209,CodeBERT,1,1.5
210,CodeBERT,1,1.5
211,CodeBERT,1,1.5
212,CodeBERT,1,2.5
213,CodeBERT,1,1.5
214,CodeBERT,5,5
215,CodeBERT,5,5
216,CodeBERT,1,1.5
217,CodeBERT,2.5,1.5
218,CodeBERT,5,5
219,CodeBERT,5,5
220,CodeBERT,1,2.5
221,CodeBERT,5,5
222,CodeBERT,5,5
223,CodeBERT,4,2.5
224,CodeBERT,1,1.5
225,CodeBERT,2.5,1.5
226,CodeBERT,1,1.5
227,CodeBERT,5,5
228,CodeBERT,1,1.5
229,CodeBERT,3.5,2.5
230,CodeBERT,3.5,2.5
231,CodeBERT,1,2.5
232,CodeBERT,1,1.5
233,CodeBERT,1,1.5
234,CodeBERT,3.5,3
235,CodeBERT,1,1.5
236,CodeBERT,2,2.5
237,CodeBERT,1,1.5
238,CodeBERT,2.5,1.5
239,CodeBERT,3,1.5
240,CodeBERT,1,1.5
241,CodeBERT,1,1.5
242,CodeBERT,1,2.5
243,CodeBERT,5,5
244,CodeBERT,2.5,1.5
245,CodeBERT,1,1.5
246,CodeBERT,1,1.5
247,CodeBERT,2.5,1.5
248,CodeBERT,2,2.5
249,CodeBERT,3.5,3
250,CodeBERT,3,2.5
251,CodeBERT,1,2.5
252,CodeBERT,1,1.5
253,CodeBERT,3.5,2.5
254,CodeBERT,4,3
1,ContraCode,1,2.5
2,ContraCode,1,2.5
3,ContraCode,1,2.5
4,ContraCode,5,5
5,ContraCode,1,1.5
6,ContraCode,3.5,2.5
7,ContraCode,3.5,3.5
8,ContraCode,2.5,1.5
9,ContraCode,5,5
10,ContraCode,2.5,1.5
11,ContraCode,1,2.5
12,ContraCode,1,1.5
13,ContraCode,3,2.5
14,ContraCode,1,2.5
15,ContraCode,5,5
16,ContraCode,1,3.5
17,ContraCode,3,2.5
18,ContraCode,1,2.5
19,ContraCode,3,1.5
20,ContraCode,5,5
21,ContraCode,3.5,2.5
22,ContraCode,4,2.5
23,ContraCode,1,3
24,ContraCode,3,3.5
25,ContraCode,2.5,3
26,ContraCode,5,5
27,ContraCode,3,2.5
28,ContraCode,1,2.5
29,ContraCode,5,5
30,ContraCode,5,5
31,ContraCode,1,1.5
32,ContraCode,3,2.5
33,ContraCode,1,1.5
34,ContraCode,3,2.5
35,ContraCode,5,5
36,ContraCode,3,3.5
37,ContraCode,5,5
38,ContraCode,1,1.5
39,ContraCode,3.5,3
40,ContraCode,5,5
41,ContraCode,1,1.5
42,ContraCode,3.5,3.5
43,ContraCode,5,5
44,ContraCode,1,1.5
45,ContraCode,3,2.5
46,ContraCode,3.5,2.5
47,ContraCode,1,2.5
48,ContraCode,1,1.5
49,ContraCode,1,2.5
50,ContraCode,1,1.5
51,ContraCode,1,1.5
52,ContraCode,3.5,1.5
53,ContraCode,2.5,1.5
54,ContraCode,3.5,2.5
55,ContraCode,1,2.5
56,ContraCode,1,1.5
57,ContraCode,3.5,2.5
58,ContraCode,3,2.5
59,ContraCode,5,5
60,ContraCode,3,2.5
61,ContraCode,3.5,3.5
62,ContraCode,5,5
63,ContraCode,1,2.5
64,ContraCode,1,1.5
65,ContraCode,1,1.5
66,ContraCode,5,5
67,ContraCode,3.5,2.5
68,ContraCode,1,1.5
69,ContraCode,1,2.5
70,ContraCode,2.5,1.5
71,ContraCode,4,2.5
72,ContraCode,4,2.5
73,ContraCode,1,1.5
74,ContraCode,3.5,2.5
75,ContraCode,5,5
76,ContraCode,5,5
77,ContraCode,3,2.5
78,ContraCode,1,2.5
79,ContraCode,1,1.5
80,ContraCode,1,3.5
81,ContraCode,4,3.5
82,ContraCode,5,5
83,ContraCode,1,1.5
84,ContraCode,1,1.5
85,ContraCode,1,2.5
86,ContraCode,1,1.5
87,ContraCode,1,2.5
88,ContraCode,3,3.5
89,ContraCode,1,1.5
90,ContraCode,4,2.5
91,ContraCode,3,1.5
92,ContraCode,5,5
93,ContraCode,4,2.5
94,ContraCode,2.5,1.5
95,ContraCode,1,1.5
96,ContraCode,1,1.5
97,ContraCode,1,1.5
98,ContraCode,2.5,1.5
99,ContraCode,3,3.5
100,ContraCode,4,3.5
101,ContraCode,3.5,3
102,ContraCode,1,2.5
103,ContraCode,4,4
104,ContraCode,2,1.5
105,ContraCode,3.5,1.5
106,ContraCode,3,3.5
107,ContraCode,5,5
108,ContraCode,1,1.5
109,ContraCode,1,1.5
110,ContraCode,1,1.5
111,ContraCode,1,1.5
112,ContraCode,1,1.5
113,ContraCode,1,1.5
114,ContraCode,3,2.5
115,ContraCode,1,3
116,ContraCode,1,1.5
117,ContraCode,3.5,3
118,ContraCode,3,2.5
119,ContraCode,1,1.5
120,ContraCode,1,2.5
121,ContraCode,1,1.5
122,ContraCode,1,2.5
123,ContraCode,2.5,1.5
124,ContraCode,2.5,1.5
125,ContraCode,4,2.5
126,ContraCode,2.5,1.5
127,ContraCode,1,1.5
128,ContraCode,1,1.5
129,ContraCode,1,2.5
130,ContraCode,1,1.5
131,ContraCode,1,1.5
132,ContraCode,2.5,1.5
133,ContraCode,3.5,3
134,ContraCode,1,2.5
135,ContraCode,1,1.5
136,ContraCode,5,5
137,ContraCode,2.5,1.5
138,ContraCode,3,3.5
139,ContraCode,2.5,1.5
140,ContraCode,2.5,1.5
141,ContraCode,5,5
142,ContraCode,1,2.5
143,ContraCode,3,1.5
144,ContraCode,1,3
145,ContraCode,5,5
146,ContraCode,1,1.5
147,ContraCode,1,1.5
148,ContraCode,2.5,1.5
149,ContraCode,1,2.5
150,ContraCode,5,5
151,ContraCode,5,5
152,ContraCode,5,5
153,ContraCode,5,5
154,ContraCode,2.5,1.5
155,ContraCode,1,1.5
156,ContraCode,2.5,1.5
157,ContraCode,1,2.5
158,ContraCode,1,1.5
159,ContraCode,2.5,1.5
160,ContraCode,1,1.5
161,ContraCode,1,1.5
162,ContraCode,1,2.5
163,ContraCode,1,1.5
164,ContraCode,1,1.5
165,ContraCode,1,1.5
166,ContraCode,2.5,1.5
167,ContraCode,3,2.5
168,ContraCode,5,5
169,ContraCode,2.5,1.5
170,ContraCode,1,1.5
171,ContraCode,3,2.5
172,ContraCode,5,5
173,ContraCode,5,5
174,ContraCode,3.5,2.5
175,ContraCode,1,1.5
176,ContraCode,3,2.5
177,ContraCode,1,2.5
178,ContraCode,1,1.5
179,ContraCode,1,1.5
180,ContraCode,1,1.5
181,ContraCode,3.5,3.5
182,ContraCode,3,2.5
183,ContraCode,3.5,2.5
184,ContraCode,1,1.5
185,ContraCode,1,1.5
186,ContraCode,2.5,1.5
187,ContraCode,2,1.5
188,ContraCode,2.5,1.5
189,ContraCode,3,2.5
190,ContraCode,1,1.5
191,ContraCode,1,1.5
192,ContraCode,1,2.5
193,ContraCode,1,1.5
194,ContraCode,2.5,1.5
195,ContraCode,5,5
196,ContraCode,5,5
197,ContraCode,1,2.5
198,ContraCode,2.5,1.5
199,ContraCode,5,5
200,ContraCode,5,5
201,ContraCode,5,5
202,ContraCode,2.5,1.5
203,ContraCode,3,2.5
204,ContraCode,1,2.5
205,ContraCode,1,2.5
206,ContraCode,1,1.5
207,ContraCode,3.5,2.5
208,ContraCode,5,5
209,ContraCode,1,1.5
210,ContraCode,1,1.5
211,ContraCode,1,1.5
212,ContraCode,1,1.5
213,ContraCode,1,1.5
214,ContraCode,1,2.5
215,ContraCode,5,5
216,ContraCode,1,2.5
217,ContraCode,2.5,1.5
218,ContraCode,4,1.5
219,ContraCode,5,5
220,ContraCode,5,5
221,ContraCode,5,5
222,ContraCode,5,5
223,ContraCode,5,5
224,ContraCode,1,2.5
225,ContraCode,2.5,1.5
226,ContraCode,1,1.5
227,ContraCode,5,5
228,ContraCode,1,2.5
229,ContraCode,3.5,3.5
230,ContraCode,1,2.5
231,ContraCode,3.5,2.5
232,ContraCode,2.5,1.5
233,ContraCode,1,1.5
234,ContraCode,3.5,3
235,ContraCode,1,3
236,ContraCode,3,2.5
237,ContraCode,1,1.5
238,ContraCode,2.5,1.5
239,ContraCode,3,1.5
240,ContraCode,1,1.5
241,ContraCode,1,1.5
242,ContraCode,1,2.5
243,ContraCode,3,3.5
244,ContraCode,2.5,1.5
245,ContraCode,1,1.5
246,ContraCode,1,1.5
247,ContraCode,2.5,1.5
248,ContraCode,2,2.5
249,ContraCode,3.5,3
250,ContraCode,3,2.5
251,ContraCode,1,2.5
252,ContraCode,2.5,1.5
253,ContraCode,2.5,1.5
254,ContraCode,3.5,3
1,CodeSage,1,2.5
2,CodeSage,1,1.5
3,CodeSage,3.5,2.5
4,CodeSage,5,5
5,CodeSage,1,1.5
6,CodeSage,3.5,2.5
7,CodeSage,3,3.5
8,CodeSage,1,2.5
9,CodeSage,5,5
10,CodeSage,2.5,1.5
11,CodeSage,1,2.5
12,CodeSage,1,2.5
13,CodeSage,1,2.5
14,CodeSage,1,3.5
15,CodeSage,5,5
16,CodeSage,1,2.5
17,CodeSage,1,1.5
18,CodeSage,1,3.5
19,CodeSage,2.5,1.5
20,CodeSage,3,3.5
21,CodeSage,1.5,2.5
22,CodeSage,3.5,2.5
23,CodeSage,1,2.5
24,CodeSage,3,2.5
25,CodeSage,1,1.5
26,CodeSage,3.5,3
27,CodeSage,5,5
28,CodeSage,3.5,3
29,CodeSage,3,3.5
30,CodeSage,5,5
31,CodeSage,1,1.5
32,CodeSage,1,2.5
33,CodeSage,1,2.5
34,CodeSage,3,2.5
35,CodeSage,3.5,3
36,CodeSage,3.5,3
37,CodeSage,4,2.5
38,CodeSage,1,1.5
39,CodeSage,1,2.5
40,CodeSage,5,5
41,CodeSage,1,1.5
42,CodeSage,3,2.5
43,CodeSage,5,5
44,CodeSage,3,2.5
45,CodeSage,1,1.5
46,CodeSage,2.5,1.5
47,CodeSage,1,2.5
48,CodeSage,1,1.5
49,CodeSage,1,2.5
50,CodeSage,1,2.5
51,CodeSage,2.5,1.5
52,CodeSage,3.5,1.5
53,CodeSage,2.5,1.5
54,CodeSage,1,1.5
55,CodeSage,1,1.5
56,CodeSage,1,1.5
57,CodeSage,1,1.5
58,CodeSage,3,2.5
59,CodeSage,5,5
60,CodeSage,3,2.5
61,CodeSage,1,2.5
62,CodeSage,5,5
63,CodeSage,1,2.5
64,CodeSage,1,1.5
65,CodeSage,1,1.5
66,CodeSage,1,2.5
67,CodeSage,3.5,2.5
68,CodeSage,1,1.5
69,CodeSage,2.5,1.5
70,CodeSage,1,1.5
71,CodeSage,2.5,1.5
72,CodeSage,2.5,1.5
73,CodeSage,1,1.5
74,CodeSage,3.5,1.5
75,CodeSage,3.5,3
76,CodeSage,5,5
77,CodeSage,1,1.5
78,CodeSage,1,2.5
79,CodeSage,1,1.5
80,CodeSage,1,3.5
81,CodeSage,4,3.5
82,CodeSage,4,2.5
83,CodeSage,1,1.5
84,CodeSage,1,1.5
85,CodeSage,1,2.5
86,CodeSage,1,1.5
87,CodeSage,1,2.5
88,CodeSage,1,2.5
89,CodeSage,1,1.5
90,CodeSage,4,2.5
91,CodeSage,1,1.5
92,CodeSage,5,5
93,CodeSage,1,1.5
94,CodeSage,2.5,1.5
95,CodeSage,1,1.5
96,CodeSage,1,1.5
97,CodeSage,1,1.5
98,CodeSage,3,1.5
99,CodeSage,1,2.5
100,CodeSage,1,1.5
101,CodeSage,3.5,3
102,CodeSage,1,2.5
103,CodeSage,4,4
104,CodeSage,1,2.5
105,CodeSage,4,1.5
106,CodeSage,3,2.5
107,CodeSage,3,2.5
108,CodeSage,1,1.5
109,CodeSage,1,1.5
110,CodeSage,1,1.5
111,CodeSage,1,1.5
112,CodeSage,1,1.5
113,CodeSage,1,1.5
114,CodeSage,1,1.5
115,CodeSage,3,2.5
116,CodeSage,1,1.5
117,CodeSage,3.5,3
118,CodeSage,3,2.5
119,CodeSage,1,1.5
120,CodeSage,1,1.5
121,CodeSage,1,1.5
122,CodeSage,1,2.5
123,CodeSage,5,5
124,CodeSage,2.5,1.5
125,CodeSage,4,2.5
126,CodeSage,2.5,1.5
127,CodeSage,1,1.5
128,CodeSage,1,2.5
129,CodeSage,1,2.5
130,CodeSage,1,1.5
131,CodeSage,1,1.5
132,CodeSage,1,1.5
133,CodeSage,1,2.5
134,CodeSage,1,1.5
135,CodeSage,1,1.5
136,CodeSage,3.5,2.5
137,CodeSage,1,1.5
138,CodeSage,3,3.5
139,CodeSage,1,1.5
140,CodeSage,2.5,1.5
141,CodeSage,3.5,2.5
142,CodeSage,1,1.5
143,CodeSage,1,1.5
144,CodeSage,1,1.5
145,CodeSage,5,5
146,CodeSage,1,1.5
147,CodeSage,1,1.5
148,CodeSage,2.5,1.5
149,CodeSage,3.5,3
150,CodeSage,4,2.5
151,CodeSage,4,2.5
152,CodeSage,5,5
153,CodeSage,5,5
154,CodeSage,2.5,1.5
155,CodeSage,1,1.5
156,CodeSage,2.5,1.5
157,CodeSage,1,2.5
158,CodeSage,3.5,3
159,CodeSage,1,1.5
160,CodeSage,1,1.5
161,CodeSage,1,1.5
162,CodeSage,1,2.5
163,CodeSage,1,1.5
164,CodeSage,1,2.5
165,CodeSage,1,1.5
166,CodeSage,1,1.5
167,CodeSage,3,2.5
168,CodeSage,5,5
169,CodeSage,2.5,1.5
170,CodeSage,1,1.5
171,CodeSage,2.5,1.5
172,CodeSage,3.5,1.5
173,CodeSage,2.5,1.5
174,CodeSage,3.5,2.5
175,CodeSage,2.5,1.5
176,CodeSage,3,2.5
177,CodeSage,2,2.5
178,CodeSage,1,1.5
179,CodeSage,1,1.5
180,CodeSage,1,1.5
181,CodeSage,3.5,2.5
182,CodeSage,3,2.5
183,CodeSage,1,2.5
184,CodeSage,1,1.5
185,CodeSage,1,1.5
186,CodeSage,2.5,1.5
187,CodeSage,1,1.5
188,CodeSage,2.5,1.5
189,CodeSage,3,2.5
190,CodeSage,1,1.5
191,CodeSage,1,2.5
192,CodeSage,1,1.5
193,CodeSage,1,2.5
194,CodeSage,2.5,1.5
195,CodeSage,3.5,3
196,CodeSage,3.5,2.5
197,CodeSage,1,2.5
198,CodeSage,2.5,1.5
199,CodeSage,5,5
200,CodeSage,5,5
201,CodeSage,3,2.5
202,CodeSage,1,2.5
203,CodeSage,3,2.5
204,CodeSage,1,2.5
205,CodeSage,2.5,1.5
206,CodeSage,1,1.5
207,CodeSage,5,5
208,CodeSage,2.5,1.5
209,CodeSage,1,1.5
210,CodeSage,1,1.5
211,CodeSage,1,1.5
212,CodeSage,1,1.5
213,CodeSage,1,1.5
214,CodeSage,1,3.5
215,CodeSage,4,2.5
216,CodeSage,1,1.5
217,CodeSage,1,1.5
218,CodeSage,4,1.5
219,CodeSage,5,5
220,CodeSage,1,2.5
221,CodeSage,5,5
222,CodeSage,5,5
223,CodeSage,1,1.5
